id,nome,accessKey,sheetId,ultimaAtualizacao,etiquetasconversao
1vk1iWyp9522rQ2Tvfl5yT7b66alsnlYmeJuEQWBdzRU,AGUAZUL LONDRINA,LONDRINA,1vk1iWyp9522rQ2Tvfl5yT7b66alsnlYmeJuEQWBdzRU,,"FECHADO,GANHO,CONCLUIDO,fechado,ganho,concluido"
1K2DGerqbJZLODw3pRDv0Hh6FL8BchaMZT-q9DgSh4ks,AUTOPICK,AUTOPICK,1K2DGerqbJZLODw3pRDv0Hh6FL8BchaMZT-q9DgSh4ks,,"FECHADO,GANHO,CONCLUIDO,fechado,ganho,concluido"
1XAyIfQywwN9Q6yHEuDM5kSb71G7qB6EeWXYlxdeJx-g,BRB,BRB,1XAyIfQywwN9Q6yHEuDM5kSb71G7qB6EeWXYlxdeJx-g,,"FECHADO,GANHO,CONCLUIDO,fechado,ganho,concluido"
14z0AV9VVRwhPu0isoXicjpA2imuVOvRZJfniEw2gy88,TESTE,TESTE,14z0AV9VVRwhPu0isoXicjpA2imuVOvRZJfniEw2gy88,,"FECHADO,GANHO,CONCLUIDO,fechado,ganho,concluido" 
